file_name,no,chunking,embedding,vectorDB,LLM,eval
recursive_chroma,1,recursive,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,1,recursive,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,1,recursive,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,1,recursive,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,3,recursive,stsb-xlm-r-multilingual,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,5,recursive,intfloat/multilingual-e5-large-instruct,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,9,recursive,BAAI/bge-m3,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,9,recursive,BAAI/bge-m3,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,9,recursive,BAAI/bge-m3,chroma_store,openai/gpt-oss-120b,Good
recursive_chroma,2,recursive,text-embedding-3-large,chroma_store,gpt-4o-mini,Bad
recursive_chroma,3,recursive,stsb-xlm-r-multilingual,chroma_store,openai/gpt-oss-120b,Bad
recursive_chroma,4,recursive,stsb-xlm-r-multilingual,chroma_store,gpt-4o-mini,Bad
recursive_chroma,6,recursive,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
recursive_chroma,6,recursive,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
recursive_chroma,6,recursive,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
recursive_chroma,7,recursive,kakaobank/kf-deberta-base,chroma_store,openai/gpt-oss-120b,Bad
recursive_chroma,7,recursive,kakaobank/kf-deberta-base,chroma_store,openai/gpt-oss-120b,Bad
recursive_chroma,7,recursive,kakaobank/kf-deberta-base,chroma_store,openai/gpt-oss-120b,Bad
recursive_chroma,8,recursive,kakaobank/kf-deberta-base,chroma_store,gpt-4o-mini,Bad
recursive_chroma,8,recursive,kakaobank/kf-deberta-base,chroma_store,gpt-4o-mini,Bad
recursive_Faiss,1,recursive,text-embedding-3-large,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,3,recursive,stsb-xlm-r-multilingual,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,5,recursive,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,5,recursive,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,9,recursive,BAAI/bge-m3,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,9,recursive,BAAI/bge-m3,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,9,recursive,BAAI/bge-m3,faiss_index,openai/gpt-oss-120b,Good
recursive_Faiss,2,recursive,text-embedding-3-large,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,4,recursive,stsb-xlm-r-multilingual,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,5,recursive,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Bad
recursive_Faiss,6,recursive,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,6,recursive,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,6,recursive,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,7,recursive,kakaobank/kf-deberta-base,faiss_index,openai/gpt-oss-120b,Bad
recursive_Faiss,8,recursive,kakaobank/kf-deberta-base,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,10,recursive,BAAI/bge-m3,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,10,recursive,BAAI/bge-m3,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,10,recursive,BAAI/bge-m3,faiss_index,gpt-4o-mini,Bad
recursive_Faiss,10,recursive,BAAI/bge-m3,faiss_index,gpt-4o-mini,Bad
semantic_chroma,1,semantic,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,1,semantic,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,1,semantic,text-embedding-3-large,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,3,semantic,stsb-xlm-r-multilingual,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,3,semantic,stsb-xlm-r-multilingual,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,5,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,5,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,5,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,6,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Good
semantic_chroma,9,semantic,BAAI/bge-m3,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,9,semantic,BAAI/bge-m3,chroma_store,openai/gpt-oss-120b,Good
semantic_chroma,2,semantic,text-embedding-3-large,chroma_store,gpt-4o-mini,Bad
semantic_chroma,2,semantic,text-embedding-3-large,chroma_store,gpt-4o-mini,Bad
semantic_chroma,3,semantic,stsb-xlm-r-multilingual,chroma_store,openai/gpt-oss-120b,Bad
semantic_chroma,4,semantic,stsb-xlm-r-multilingual,chroma_store,gpt-4o-mini,Bad
semantic_chroma,4,semantic,stsb-xlm-r-multilingual,chroma_store,gpt-4o-mini,Bad
semantic_chroma,4,semantic,stsb-xlm-r-multilingual,chroma_store,gpt-4o-mini,Bad
semantic_chroma,4,semantic,stsb-xlm-r-multilingual,chroma_store,gpt-4o-mini,Bad
semantic_chroma,5,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,openai/gpt-oss-120b,Bad
semantic_chroma,6,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
semantic_chroma,6,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
semantic_chroma,6,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
semantic_chroma,6,semantic,intfloat/multilingual-e5-large-instruct,chroma_store,gpt-4o-mini,Bad
semantic_chroma,8,semantic,kakaobank/kf-deberta-base,chroma_store,gpt-4o-mini,Bad
semantic_chroma,8,semantic,kakaobank/kf-deberta-base,chroma_store,gpt-4o-mini,Bad
semantic_chroma,9,semantic,BAAI/bge-m3,chroma_store,openai/gpt-oss-120b,Bad
semantic_chroma,10,semantic,BAAI/bge-m3,chroma_store,gpt-4o-mini,Bad
semantic_chroma,10,semantic,BAAI/bge-m3,chroma_store,gpt-4o-mini,Bad
semantic_faiss,1,semantic,text-embedding-3-large,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,1,semantic,text-embedding-3-large,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,1,semantic,text-embedding-3-large,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,3,semantic,stsb-xlm-r-multilingual,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,3,semantic,stsb-xlm-r-multilingual,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,5,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,5,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,5,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,6,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Good
semantic_faiss,9,semantic,BAAI/bge-m3,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,9,semantic,BAAI/bge-m3,faiss_index,openai/gpt-oss-120b,Good
semantic_faiss,2,semantic,text-embedding-3-large,faiss_index,gpt-4o-mini,Bad
semantic_faiss,2,semantic,text-embedding-3-large,faiss_index,gpt-4o-mini,Bad
semantic_faiss,2,semantic,text-embedding-3-large,faiss_index,gpt-4o-mini,Bad
semantic_faiss,4,semantic,stsb-xlm-r-multilingual,faiss_index,gpt-4o-mini,Bad
semantic_faiss,4,semantic,stsb-xlm-r-multilingual,faiss_index,gpt-4o-mini,Bad
semantic_faiss,4,semantic,stsb-xlm-r-multilingual,faiss_index,gpt-4o-mini,Bad
semantic_faiss,5,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,openai/gpt-oss-120b,Bad
semantic_faiss,6,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Bad
semantic_faiss,6,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Bad
semantic_faiss,6,semantic,intfloat/multilingual-e5-large-instruct,faiss_index,gpt-4o-mini,Bad
semantic_faiss,7,semantic,kakaobank/kf-deberta-base,faiss_index,openai/gpt-oss-120b,Bad
semantic_faiss,7,semantic,kakaobank/kf-deberta-base,faiss_index,openai/gpt-oss-120b,Bad
semantic_faiss,8,semantic,kakaobank/kf-deberta-base,faiss_index,gpt-4o-mini,Bad
semantic_faiss,8,semantic,kakaobank/kf-deberta-base,faiss_index,gpt-4o-mini,Bad
semantic_faiss,8,semantic,kakaobank/kf-deberta-base,faiss_index,gpt-4o-mini,Bad
semantic_faiss,8,semantic,kakaobank/kf-deberta-base,faiss_index,gpt-4o-mini,Bad
semantic_faiss,9,semantic,BAAI/bge-m3,faiss_index,openai/gpt-oss-120b,Bad
semantic_faiss,10,semantic,BAAI/bge-m3,faiss_index,gpt-4o-mini,Bad
